l_ukrainian:
 EVTOPTL5060:0 "Хай тобі... в кометному сенсі!"
 ###MONUMENTS###
 falun_copper_mine:0 "Копальня Велика Мідна гора"
 visby_city:0 "Вісбю"
 kronborg:0 "Замок Кронборґ"
 trakai_castle:0 "Тракайський замок"
 salvador_da_bahia:0 "Салвадор-да-Байя"
 mbanza_kongo:0 "М'Банза-Конґо"
 harar_jugol:0 "Харер Джугол"
 dujiangyan:0 "Дуцзян'янь"
 ###MERCENARIES###
 merc_hakkapeliita_cavalry:1 "§JГакапелітська кавалерія§!"
 merc_large_hakkapeliita_cavalry:1 "§JГакапелітська армія§!"
 merc_guerilla_hakkapeliita_cavalry:1 "§JГакапелітські застрільники§!"
 merc_elite_hakkapeliita_cavalry:1 "§JЕлітні гакапеліти§!"
 merc_prussian_volunteer_army:1 "§JПруська добровольча армія§!"
 FREE_OF_ARMY_PROFESSIONALISM_COST:0 "§JНайм цієї компанії більше не зменшує §Yпрофесіоналізм армії§!.§!"
 ###SCRIPTED TRIGGERS###
 is_free_merc_company_tt:0 "Це §YВільна компанія§!."
 unlocked_prussian_monarchy_tt:0 "Розблоковано урядову реформу '§YПруська монархія§!'."
 unlocked_prussian_monarchy_base_tt:0 "Розблоковано урядову реформу '§YПруська монархія§!'."
 unlocked_prussian_republic_reform_tt:0 "Розблоковано урядову реформу '§YСтратократична адміністрація§!'."
 unlocked_prussian_theocratic_reform_tt:0 "Розблоковано урядову реформу '§YМілітаристська божественна держава§!'."
 unlocked_livonian_military_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська мілітаристська монархія§!'."
 unlocked_livonian_naval_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонські генеральні штати§!'."
 unlocked_livonian_trade_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська плутократія§!'."
 unlocked_livonian_theocratic_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська теократія§!'."
 unlocked_livonian_elective_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська виборна монархія§!'."
 unlocked_livonian_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська монархія§!'."
 unlocked_livonian_mercenary_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська держава найманців§!'."
 unlocked_livonian_diplomatic_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська державна рада§!'."
 unlocked_livonian_constitutional_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська конституційна монархія§!'."
 unlocked_livonian_administrative_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонське імперське правління§!'."
 unlocked_livonian_admiral_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонське адміралтейство§!'."
 unlocked_livonian_naval_controlled_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська таласократія§!'."
 unlocked_livonian_general_controlled_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська автократія§!'."
 unlocked_livonian_absolute_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська абсолютна монархія§!'."
 unlocked_livonian_enlightened_monarchy_tt:0 "Розблоковано урядову реформу '§YЛівонська просвічена монархія§!'."
 province_has_current_tech_trade_trigger_tt:0 "§YПровінція§! має ринок найвищого рівня, можливого на поточному рівні технології."
 has_unlocked_merc_schwarze_garde:0 "Розблоковано найманську компанію §YЧорна гвардія§!."
 has_unlocked_merc_doppelsoeldner:0 "Розблоковано найманську компанію §YДоппельзольднери§!."
 has_unlocked_merc_reislaufer:0 "Розблоковано найманську компанію §YШвейцарські найманці§!."
 has_unlocked_merc_hessian_jaegerkorps:0 "Розблоковано найманську компанію §YГессенський єгерський корпус§!."
 has_unlocked_merc_flemish_company:0 "Розблоковано найманську компанію §YФламандська компанія§!."
 has_unlocked_merc_frisian_free_company:0 "Розблоковано найманську компанію §YФризька вільна компанія§!."
 has_unlocked_merc_oyo_cavalry:0 "Розблоковано найманську компанію §YОйонська кавалерія§!."
 has_unlocked_merc_hakkapeliita_cavalry:0 "Розблоковано найманську компанію §YГакапелітська кавалерія§!."
 has_unlocked_merc_large_hakkapeliita_cavalry:0 "Розблоковано найманську компанію §YГакапелітська армія§!."
 has_unlocked_merc_guerilla_hakkapeliita_cavalry:0 "Розблоковано найманську компанію §YГакапелітські застрільники§!."
 has_unlocked_merc_elite_hakkapeliita_cavalry:0 "Розблоковано найманську компанію §YЕлітні гакапеліти§!."
 has_unlocked_merc_prussian_volunteer_army:0 "Розблоковано найманську компанію §Yпруська добровольча армія§!."
 has_unlocked_merc_tyrolean_guard:0 "Розблоковано найманську компанію §YТирольська гвардія§!."
 is_allowed_to_recruit_mercenaries_tt:0 "Можна вербувати §Yнайманців§!."
 num_of_ruler_traits_tt:0 " риси правителя."
 is_trade_node_province_tt:0 "Є §Yторговим вузлом§!."
 is_inland_trade_node_province_tt:0 "Є §Yвнутрішнім§! торговим вузлом."
 is_not_inland_trade_node_province_tt:0 "НЕ є §Yвнутрішнім§! торговим вузлом."
 has_any_estates_tt:0 "Є будь-який §Yстан§!."
 NUM_OF_WON_BATTLES:0 "[Root.num_won_battles.GetValue]"
 was_never_end_game_tag_trigger_tt:0 "Держава ніколи не була  §Yтеґом ендшпіля§!."
 has_tax_building_trigger_tt:0 "Є §YХрам§! або §YСобор§!."
 has_trade_building_trigger_tt:0 "Є §YРинок§!, §YСклад§! або §YФондова біржа§!."
 has_production_building_trigger_tt:0 "Є §YМайстерня§! або §YКонтора§!."
 has_manpower_building_trigger_tt:0 "Є §YКазарми§! або §YПольовий табір§!."
 has_shipyard_building_trigger_tt:0 "Є §YКорабельня§! або §YВелика корабельня§!."
 has_dock_building_trigger_tt:0 "Є §YДок§! або §YСухий док§!."
 has_forcelimit_building_trigger_tt:0 "Є §YВійськове містечко§! або §YПризовний пункт§!."
 has_courthouse_building_trigger_tt:0 "Є §YЗемський суд§! або §YРатуша§!."
 has_fort_building_trigger_tt:0 "Є §YФортеця§!."
 has_coast_defense_building_trigger_tt:0 "Є §YПрибережна оборона§! або §YМорська батарея§!."
 ###SCRIPTED EFFECTS###
 unlock_privilege_estate_burghers_forest_expansion_tt:0 "[Root.GetBurghersOrFallbackName] отримують привілей '§YЕкспансія в ліси§!'."
 unlock_privilege_estate_burghers_mountain_expansion_tt:0 "[Root.GetBurghersOrFallbackName] отримують привілей '§YЕкспансія в гори§!'."
 unlock_privilege_estate_nobles_leidang_conscription_tt:0 "[Root.GetNobilityOrFallbackName] отримують привілей '§YЛейдангський призов§!'."
 unlock_privilege_estate_burghers_orthodox_tolerance_tt:0 "[Root.GetBurghersOrFallbackName] отримують привілей '§YНадання православної автономії§!'."
 unlock_privilege_estate_church_anti_heresy_act_tt:0 "[Root.GetChurchOrFallbackName] отримують привілей '§YЗакон про боротьбу з єресями§!'."
 unlock_privilege_estate_nobles_carolean_march_tt:0 "[Root.GetNobilityOrFallbackName] отримують привілей '§YМарш каролінерів§!'."
 unlock_privilege_estate_nobles_carolean_charge_tt:0 "[Root.GetNobilityOrFallbackName] отримують привілей '§YКидок каролінерів§!'."
 unlock_privilege_estate_nobles_religious_conscription_tt:0 "[Root.GetNobilityOrFallbackName] отримують привілей '§YРелігійний військовий заклик§!'."
 unlock_privilege_estate_nobles_leidang_mass_conscription_tt:0 "[Root.GetNobilityOrFallbackName] отримують привілей '§YЛейдангський масовий призов§!'."
 unlock_privilege_estate_nobles_leidang_elite_conscription_tt:0 "[Root.GetNobilityOrFallbackName] отримують привілей '§YЛейдангський елітний призов§!'."
 unlock_crusading_kingdom_reform_tt:0 "Буде розблоковано урядову реформу '§YОрден хрестоносців§!'."
 unlock_militarized_crusader_order_reform_tt:0 "Буде розблоковано урядову реформу '§YІмперія хрестоносців§!'."
 unlock_holy_horde_reform_tt:0 "Буде розблоковано урядову реформу '§YСвята орда§!'."
 unlock_prussian_monarchy_tt:0 "Буде розблоковано урядову реформу '§YПруська монархія§!'."
 unlock_prussian_monarchy_base_tt:0 "Буде розблоковано урядову реформу '§YПруська монархія§!'."
